arm	chrom	start	end
17q11.2	17	23200000	28800000
17q12	17	28800000	35400000
17q21.1	17	35400000	35600000
17q21.2	17	35600000	37800000
17q21.31	17	37800000	41900000
17q21.32	17	41900000	44800000
17q21.33	17	44800000	47600000
17q22	17	47600000	54900000
17q23.1	17	54900000	55600000
17q23.2	17	55600000	58400000
17q23.3	17	58400000	59900000
17q24.1	17	59900000	61600000
17q24.2	17	61600000	64600000
17q24.3	17	64600000	68400000
17q25.1	17	68400000	72200000
17q25.2	17	72200000	72900000
17q25.3	17	72900000	78774742
18p11.32	18	0	2900000
18p11.31	18	2900000	7200000
18p11.23	18	7200000	8500000
18p11.22	18	8500000	10900000
18p11.21	18	10900000	15400000
18p11.1	18	15400000	16100000
18q11.1	18	16100000	17300000
18q11.2	18	17300000	23300000
18q12.1	18	23300000	31000000
18q12.2	18	31000000	35500000
18q12.3	18	35500000	41800000
18q21.1	18	41800000	46400000
18q21.2	18	46400000	52000000
18q21.31	18	52000000	54400000
18q21.32	18	54400000	57100000
18q21.33	18	57100000	59800000
18q22.1	18	59800000	64900000
18q22.2	18	64900000	66900000
18q22.3	18	66900000	71300000
18q23	18	71300000	76117153
19p13.3	19	0	6900000
19p13.2	19	6900000	12600000
19p13.13	19	12600000	13800000
19p13.12	19	13800000	16100000
19p13.11	19	16100000	19800000
19p12	19	19800000	26700000
19p11	19	26700000	28500000
19q11	19	28500000	30200000
19q12	19	30200000	37100000
19q13.11	19	37100000	40300000
19q13.12	19	40300000	43000000
19q13.13	19	43000000	43400000
19q13.2	19	43400000	47800000
19q13.31	19	47800000	50000000
19q13.32	19	50000000	53800000
19q13.33	19	53800000	57600000
19q13.41	19	57600000	59100000
19q13.42	19	59100000	61400000
19q13.43	19	61400000	63811651
2p25.3	2	0	4300000
2p25.2	2	4300000	7000000
2p25.1	2	7000000	12800000
2p24.3	2	12800000	17000000
2p24.2	2	17000000	19100000
2p24.1	2	19100000	23900000
2p23.3	2	23900000	27700000
2p23.2	2	27700000	29800000
2p23.1	2	29800000	31900000
2p22.3	2	31900000	36400000
2p22.2	2	36400000	38400000
2p22.1	2	38400000	41600000
2p21	2	41600000	47600000
2p16.3	2	47600000	52700000
2p16.2	2	52700000	54800000
2p16.1	2	54800000	61100000
2p15	2	61100000	64000000
2p14	2	64000000	70500000
2p13.3	2	70500000	72600000
2p13.2	2	72600000	73900000
2p13.1	2	73900000	75400000
2p12	2	75400000	83700000
2p11.2	2	83700000	91000000
2p11.1	2	91000000	93300000
2q11.1	2	93300000	95700000
2q11.2	2	95700000	102100000
2q12.1	2	102100000	105300000
2q12.2	2	105300000	106700000
2q12.3	2	106700000	108600000
2q13	2	108600000	113800000
2q14.1	2	113800000	118600000
2q14.2	2	118600000	122100000
2q14.3	2	122100000	129600000
2q21.1	2	129600000	132200000
2q21.2	2	132200000	134800000
2q21.3	2	134800000	136600000
2q22.1	2	136600000	142400000
2q22.2	2	142400000	144700000
2q22.3	2	144700000	148400000
2q23.1	2	148400000	149600000
2q23.2	2	149600000	150300000
2q23.3	2	150300000	154600000
2q24.1	2	154600000	159600000
2q24.2	2	159600000	163500000
2q24.3	2	163500000	169500000
2q31.1	2	169500000	177700000
2q31.2	2	177700000	180400000
2q31.3	2	180400000	182700000
2q32.1	2	182700000	189100000
2q32.2	2	189100000	191600000
2q32.3	2	191600000	197100000
2q33.1	2	197100000	203500000
2q33.2	2	203500000	205600000
2q33.3	2	205600000	209100000
2q34	2	209100000	215100000
2q35	2	215100000	221300000
2q36.1	2	221300000	224900000
2q36.2	2	224900000	225800000
2q36.3	2	225800000	230700000
2q37.1	2	230700000	235300000
2q37.2	2	235300000	237000000
2q37.3	2	237000000	242951149
20p13	20	0	5000000
20p12.3	20	5000000	9000000
20p12.2	20	9000000	11900000
20p12.1	20	11900000	17800000
20p11.23	20	17800000	21200000
20p11.22	20	21200000	22300000
20p11.21	20	22300000	25700000
20p11.1	20	25700000	27100000
20q11.1	20	27100000	28400000
20q11.21	20	28400000	31500000
20q11.22	20	31500000	33900000
20q11.23	20	33900000	37100000
20q12	20	37100000	41100000
20q13.11	20	41100000	41600000
20q13.12	20	41600000	45800000
20q13.13	20	45800000	49200000
20q13.2	20	49200000	54400000
20q13.31	20	54400000	55900000
20q13.32	20	55900000	57900000
20q13.33	20	57900000	62435964
21p13	21	0	2900000
21p12	21	2900000	6300000
21p11.2	21	6300000	10000000
21p11.1	21	10000000	12300000
21q11.1	21	12300000	13200000
21q11.2	21	13200000	15300000
21q21.1	21	15300000	22900000
21q21.2	21	22900000	25800000
21q21.3	21	25800000	30500000
21q22.11	21	30500000	34700000
21q22.12	21	34700000	36700000
21q22.13	21	36700000	38600000
21q22.2	21	38600000	41400000
21q22.3	21	41400000	46944323
22p13	22	0	3000000
22p12	22	3000000	6600000
22p11.2	22	6600000	9600000
22p11.1	22	9600000	11800000
22q11.1	22	11800000	16300000
22q11.21	22	16300000	20500000
22q11.22	22	20500000	21800000
22q11.23	22	21800000	24300000
22q12.1	22	24300000	27900000
22q12.2	22	27900000	30500000
22q12.3	22	30500000	35900000
22q13.1	22	35900000	39300000
22q13.2	22	39300000	42600000
22q13.31	22	42600000	47000000
22q13.32	22	47000000	48200000
22q13.33	22	48200000	49691432
3p26.3	3	0	3500000
3p26.2	3	3500000	5500000
3p26.1	3	5500000	8700000
3p25.3	3	8700000	11500000
3p25.2	3	11500000	12400000
3p25.1	3	12400000	14700000
3p24.3	3	14700000	23800000
3p24.2	3	23800000	26400000
3p24.1	3	26400000	30800000
3p23	3	30800000	32100000
3p22.3	3	32100000	36500000
3p22.2	3	36500000	39300000
3p22.1	3	39300000	43600000
3p21.33	3	43600000	44400000
3p21.32	3	44400000	44700000
3p21.31	3	44700000	51400000
3p21.2	3	51400000	51700000
3p21.1	3	51700000	54400000
3p14.3	3	54400000	58500000
3p14.2	3	58500000	63700000
3p14.1	3	63700000	71800000
3p13	3	71800000	74200000
3p12.3	3	74200000	81800000
3p12.2	3	81800000	83700000
3p12.1	3	83700000	87200000
3p11.2	3	87200000	89400000
3p11.1	3	89400000	91700000
3q11.1	3	91700000	93200000
3q11.2	3	93200000	99800000
3q12.1	3	99800000	101500000
3q12.2	3	101500000	102500000
3q12.3	3	102500000	104400000
3q13.11	3	104400000	107800000
3q13.12	3	107800000	109500000
3q13.13	3	109500000	112800000
3q13.2	3	112800000	115000000
3q13.31	3	115000000	118800000
3q13.32	3	118800000	120500000
3q13.33	3	120500000	123400000
3q21.1	3	123400000	125400000
3q21.2	3	125400000	127700000
3q21.3	3	127700000	131500000
3q22.1	3	131500000	135700000
3q22.2	3	135700000	137400000
3q22.3	3	137400000	140400000
3q23	3	140400000	144400000
3q24	3	144400000	150400000
3q25.1	3	150400000	153500000
3q25.2	3	153500000	156300000
3q25.31	3	156300000	158100000
3q25.32	3	158100000	159900000
3q25.33	3	159900000	161200000
3q26.1	3	161200000	169200000
3q26.2	3	169200000	172500000
3q26.31	3	172500000	177300000
3q26.32	3	177300000	180600000
3q26.33	3	180600000	184200000
3q27.1	3	184200000	186000000
3q27.2	3	186000000	187500000
3q27.3	3	187500000	189400000
3q28	3	189400000	193800000
3q29	3	193800000	199501827
4p16.3	4	0	3100000
4p16.2	4	3100000	5200000
4p16.1	4	5200000	10900000
4p15.33	4	10900000	15300000
4p15.32	4	15300000	18500000
4p15.31	4	18500000	23100000
4p15.2	4	23100000	27900000
4p15.1	4	27900000	35500000
4p14	4	35500000	40900000
4p13	4	40900000	45600000
4p12	4	45600000	48700000
4p11	4	48700000	50700000
4q11	4	50700000	52400000
4q12	4	52400000	59200000
4q13.1	4	59200000	66300000
4q13.2	4	66300000	70400000
4q13.3	4	70400000	76500000
4q21.1	4	76500000	79200000
4q21.21	4	79200000	82600000
4q21.22	4	82600000	84300000
4q21.23	4	84300000	87100000
4q21.3	4	87100000	88200000
4q22.1	4	88200000	94000000
4q22.2	4	94000000	95400000
4q22.3	4	95400000	99100000
4q23	4	99100000	102500000
4q24	4	102500000	107900000
4q25	4	107900000	114100000
4q26	4	114100000	120600000
4q27	4	120600000	124000000
4q28.1	4	124000000	129100000
4q28.2	4	129100000	131300000
4q28.3	4	131300000	139500000
4q31.1	4	139500000	141700000
4q31.21	4	141700000	145000000
4q31.22	4	145000000	147700000
4q31.23	4	147700000	151000000
4q31.3	4	151000000	155100000
4q32.1	4	155100000	161500000
4q32.2	4	161500000	164500000
4q32.3	4	164500000	170400000
4q33	4	170400000	172200000
4q34.1	4	172200000	176600000
4q34.2	4	176600000	177800000
4q34.3	4	177800000	182600000
4q35.1	4	182600000	187300000
4q35.2	4	187300000	191273063
5p15.33	5	0	4400000
5p15.32	5	4400000	6000000
5p15.31	5	6000000	8200000
5p15.2	5	8200000	15100000
5p15.1	5	15100000	18500000
5p14.3	5	18500000	23300000
5p14.2	5	23300000	24700000
5p14.1	5	24700000	29300000
5p13.3	5	29300000	34400000
5p13.2	5	34400000	38500000
5p13.1	5	38500000	42400000
5p12	5	42400000	45800000
5p11	5	45800000	47700000
5q11.1	5	47700000	50500000
5q11.2	5	50500000	58900000
5q12.1	5	58900000	63000000
5q12.2	5	63000000	63700000
5q12.3	5	63700000	66500000
5q13.1	5	66500000	68400000
5q13.2	5	68400000	73300000
5q13.3	5	73300000	76400000
5q14.1	5	76400000	81300000
5q14.2	5	81300000	82800000
5q14.3	5	82800000	91900000
5q15	5	91900000	97300000
5q21.1	5	97300000	102800000
5q21.2	5	102800000	104500000
5q21.3	5	104500000	109600000
5q22.1	5	109600000	111500000
5q22.2	5	111500000	113100000
5q22.3	5	113100000	115200000
5q23.1	5	115200000	121500000
5q23.2	5	121500000	127300000
5q23.3	5	127300000	130400000
5q31.1	5	130400000	135400000
5q31.2	5	135400000	139000000
5q31.3	5	139000000	143100000
5q32	5	143100000	147200000
5q33.1	5	147200000	152100000
5q33.2	5	152100000	155600000
5q33.3	5	155600000	159900000
5q34	5	159900000	167400000
5q35.1	5	167400000	172200000
5q35.2	5	172200000	176500000
5q35.3	5	176500000	180857866
6p25.3	6	0	2300000
6p25.2	6	2300000	4100000
6p25.1	6	4100000	7000000
6p24.3	6	7000000	10600000
6p24.2	6	10600000	11200000
6p24.1	6	11200000	13500000
6p23	6	13500000	15500000
6p22.3	6	15500000	23500000
6p22.2	6	23500000	26100000
6p22.1	6	26100000	29900000
6p21.33	6	29900000	31900000
6p21.32	6	31900000	33600000
6p21.31	6	33600000	36800000
6p21.2	6	36800000	40600000
6p21.1	6	40600000	45200000
6p12.3	6	45200000	51100000
6p12.2	6	51100000	52600000
6p12.1	6	52600000	57200000
6p11.2	6	57200000	58400000
6p11.1	6	58400000	60500000
6q11.1	6	60500000	63400000
6q11.2	6	63400000	63500000
6q12	6	63500000	70000000
6q13	6	70000000	75900000
6q14.1	6	75900000	83900000
6q14.2	6	83900000	84700000
6q14.3	6	84700000	87500000
6q15	6	87500000	92100000
6q16.1	6	92100000	98700000
6q16.2	6	98700000	99900000
6q16.3	6	99900000	104800000
6q21	6	104800000	113900000
6q22.1	6	113900000	117100000
6q22.2	6	117100000	118600000
6q22.31	6	118600000	126200000
6q22.32	6	126200000	127300000
6q22.33	6	127300000	130400000
6q23.1	6	130400000	131300000
6q23.2	6	131300000	135200000
6q23.3	6	135200000	139100000
6q24.1	6	139100000	142900000
6q24.2	6	142900000	145700000
6q24.3	6	145700000	149100000
6q25.1	6	149100000	152600000
6q25.2	6	152600000	155600000
6q25.3	6	155600000	160900000
6q26	6	160900000	164400000
6q27	6	164400000	170899992
7p22.3	7	0	2100000
7p22.2	7	2100000	4500000
7p22.1	7	4500000	7200000
7p21.3	7	7200000	13300000
7p21.2	7	13300000	15200000
7p21.1	7	15200000	19500000
7p15.3	7	19500000	24900000
7p15.2	7	24900000	28000000
7p15.1	7	28000000	31800000
7p14.3	7	31800000	35600000
7p14.2	7	35600000	37500000
7p14.1	7	37500000	43300000
7p13	7	43300000	46600000
7p12.3	7	46600000	49800000
7p12.2	7	49800000	50900000
7p12.1	7	50900000	53900000
7p11.2	7	53900000	57400000
7p11.1	7	57400000	59100000
7q11.1	7	59100000	61100000
7q11.21	7	61100000	66100000
7q11.22	7	66100000	71800000
7q11.23	7	71800000	77400000
7q21.11	7	77400000	86200000
7q21.12	7	86200000	88000000
7q21.13	7	88000000	90900000
7q21.2	7	90900000	92600000
7q21.3	7	92600000	97900000
7q22.1	7	97900000	104400000
7q22.2	7	104400000	105900000
7q22.3	7	105900000	107200000
7q31.1	7	107200000	114400000
7q31.2	7	114400000	117200000
7q31.31	7	117200000	120900000
7q31.32	7	120900000	123600000
7q31.33	7	123600000	126900000
7q32.1	7	126900000	129000000
7q32.2	7	129000000	130100000
7q32.3	7	130100000	132400000
7q33	7	132400000	137300000
7q34	7	137300000	142800000
7q35	7	142800000	147500000
7q36.1	7	147500000	152200000
7q36.2	7	152200000	154700000
7q36.3	7	154700000	158821424
8p23.3	8	0	2200000
8p23.2	8	2200000	6200000
8p23.1	8	6200000	12700000
8p22	8	12700000	19100000
8p21.3	8	19100000	23400000
8p21.2	8	23400000	27400000
8p21.1	8	27400000	29700000
8p12	8	29700000	38500000
8p11.23	8	38500000	39500000
8p11.22	8	39500000	39900000
8p11.21	8	39900000	43200000
8p11.1	8	43200000	45200000
8q11.1	8	45200000	48100000
8q11.21	8	48100000	50400000
8q11.22	8	50400000	52800000
8q11.23	8	52800000	55600000
8q12.1	8	55600000	61700000
8q12.2	8	61700000	62400000
8q12.3	8	62400000	66100000
8q13.1	8	66100000	68100000
8q13.2	8	68100000	70600000
8q13.3	8	70600000	74000000
8q21.11	8	74000000	78500000
8q21.12	8	78500000	80300000
8q21.13	8	80300000	84900000
8q21.2	8	84900000	87200000
8q21.3	8	87200000	93500000
8q22.1	8	93500000	99100000
8q22.2	8	99100000	101600000
8q22.3	8	101600000	106100000
8q23.1	8	106100000	110600000
8q23.2	8	110600000	112200000
8q23.3	8	112200000	117700000
8q24.11	8	117700000	119200000
8q24.12	8	119200000	122500000
8q24.13	8	122500000	127300000
8q24.21	8	127300000	131500000
8q24.22	8	131500000	136500000
8q24.23	8	136500000	140000000
8q24.3	8	140000000	146274826
9p24.3	9	0	2200000
9p24.2	9	2200000	4600000
9p24.1	9	4600000	9000000
9p23	9	9000000	14100000
9p22.3	9	14100000	16600000
9p22.2	9	16600000	18500000
9p22.1	9	18500000	19900000
9p21.3	9	19900000	25500000
9p21.2	9	25500000	28100000
9p21.1	9	28100000	32800000
9p13.3	9	32800000	36300000
9p13.2	9	36300000	38000000
9p13.1	9	38000000	40200000
9p12	9	40200000	42400000
9p11.2	9	42400000	46700000
9p11.1	9	46700000	51800000
9q11	9	51800000	60300000
9q12	9	60300000	70000000
9q13	9	70000000	70500000
9q21.11	9	70500000	72700000
9q21.12	9	72700000	73100000
9q21.13	9	73100000	79300000
9q21.2	9	79300000	80300000
9q21.31	9	80300000	83400000
9q21.32	9	83400000	86100000
9q21.33	9	86100000	89600000
9q22.1	9	89600000	91000000
9q22.2	9	91000000	93000000
9q22.31	9	93000000	95600000
9q22.32	9	95600000	98200000
9q22.33	9	98200000	101600000
9q31.1	9	101600000	107200000
9q31.2	9	107200000	110300000
9q31.3	9	110300000	113900000
9q32	9	113900000	116700000
9q33.1	9	116700000	122000000
9q33.2	9	122000000	125800000
9q33.3	9	125800000	129300000
9q34.11	9	129300000	132500000
9q34.12	9	132500000	132800000
9q34.13	9	132800000	134900000
9q34.2	9	134900000	136600000
9q34.3	9	136600000	140273252
Xp22.33	X	0	4300000
Xp22.32	X	4300000	6000000
Xp22.31	X	6000000	9500000
Xp22.2	X	9500000	17100000
Xp22.13	X	17100000	19200000
Xp22.12	X	19200000	21800000
Xp22.11	X	21800000	24900000
Xp21.3	X	24900000	29400000
Xp21.2	X	29400000	31500000
Xp21.1	X	31500000	37500000
Xp11.4	X	37500000	42300000
Xp11.3	X	42300000	47300000
Xp11.23	X	47300000	49700000
Xp11.22	X	49700000	54700000
Xp11.21	X	54700000	56600000
Xp11.1	X	56600000	59500000
Xq11.1	X	59500000	65000000
Xq11.2	X	65000000	65100000
Xq12	X	65100000	67700000
Xq13.1	X	67700000	72200000
Xq13.2	X	72200000	73800000
Xq13.3	X	73800000	76000000
Xq21.1	X	76000000	84500000
Xq21.2	X	84500000	86200000
Xq21.31	X	86200000	91900000
Xq21.32	X	91900000	93500000
Xq21.33	X	93500000	98200000
Xq22.1	X	98200000	102500000
Xq22.2	X	102500000	103600000
Xq22.3	X	103600000	110500000
Xq23	X	110500000	116800000
Xq24	X	116800000	120700000
Xq25	X	120700000	129800000
Xq26.1	X	129800000	130300000
Xq26.2	X	130300000	133500000
Xq26.3	X	133500000	137800000
Xq27.1	X	137800000	140100000
Xq27.2	X	140100000	141900000
Xq27.3	X	141900000	146900000
Xq28	X	146900000	154913754
Yp11.32	Y	0	1700000
Yp11.31	Y	1700000	3300000
Yp11.2	Y	3300000	11200000
Yp11.1	Y	11200000	11300000
Yq11.1	Y	11300000	12500000
Yq11.21	Y	12500000	14300000
Yq11.221	Y	14300000	19000000
Yq11.222	Y	19000000	21300000
Yq11.223	Y	21300000	25400000
Yq11.23	Y	25400000	27200000
Yq12	Y	27200000	57772954
