sample	interval	gene_exon	log2ratio
SAMPLE_1	1:162724410-162724649	.	-0.060548097
SAMPLE_1	1:162724888-162725151	.	0.145940344
SAMPLE_1	1:162725399-162725614	.	0.115874874
SAMPLE_1	1:162729534-162729821	.	0.023193225
SAMPLE_1	1:162730991-162731254	.	-0.052549987
SAMPLE_1	1:162735738-162735905	.	0.199663962
SAMPLE_1	1:162736964-162737203	.	-0.067476369
SAMPLE_1	1:162740089-162740472	.	-0.013252379
SAMPLE_1	1:162741810-162742049	.	-0.095028562
SAMPLE_1	1:162743203-162743442	.	-0.050607514
SAMPLE_1	1:162745394-162745681	.	0.141387663
SAMPLE_1	1:162745923-162746162	.	0.071770452
SAMPLE_1	1:162748313-162748576	.	-0.030497864
SAMPLE_1	1:162749849-162750088	.	0.026092492
SAMPLE_1	1:166041073-166041252	.	-0.259305224
SAMPLE_1	1:169332098-169332277	.	-0.047257363
SAMPLE_1	1:172623174-172623353	.	-0.074901335
SAMPLE_1	1:17345319-17345510	.	0.261599631
SAMPLE_1	1:17349044-17349283	.	-0.26188092
SAMPLE_1	1:17350411-17350626	.	-0.253477013
SAMPLE_1	1:17354194-17354409	.	-0.035251195
SAMPLE_1	1:17355043-17355282	.	0.257858729
SAMPLE_1	1:17359502-17359693	.	0.149566818
SAMPLE_1	1:17371200-17371439	.	-0.027685882
SAMPLE_1	1:17380395-17380562	.	-0.350307229
SAMPLE_1	1:175914190-175914405	.	-0.041615427
SAMPLE_1	1:175916281-175916424	.	0.214727785
SAMPLE_1	1:175956027-175956290	.	-0.169481491
SAMPLE_1	1:175957366-175957605	.	0.170819114
SAMPLE_1	1:175958449-175958664	.	0.258928034
SAMPLE_1	1:175996658-175996873	.	0.028689694
SAMPLE_1	1:176012267-176012458	.	0.081799942
SAMPLE_1	1:176012792-176013007	.	-0.014598891
SAMPLE_1	1:176015269-176015508	.	0.020851425
SAMPLE_1	1:176050236-176050475	.	-0.251131908
SAMPLE_1	1:176054861-176055076	.	0.065432288
SAMPLE_1	1:176085705-176085872	.	-0.040572827
SAMPLE_1	1:176102926-176103093	.	-0.273605654
SAMPLE_1	1:176104088-176104279	.	0.077807804
SAMPLE_1	1:176105570-176105737	.	-0.086810104
SAMPLE_1	1:176118092-176118259	.	-0.156937373
SAMPLE_1	1:176131957-176132172	.	-0.049227328
SAMPLE_1	1:176132893-176133084	.	0.005639408
SAMPLE_1	1:176137768-176137935	.	-0.30217827
SAMPLE_1	1:176144987-176145202	.	0.073926856
SAMPLE_1	1:176153715-176153882	.	0.853714156
SAMPLE_1	1:176175701-176176120	.	0.073977177
SAMPLE_1	1:178290469-178290648	.	0.427294021
SAMPLE_1	1:180404864-180405043	.	0.535038232
SAMPLE_1	1:182519309-182519488	.	-0.146209934
SAMPLE_1	1:184633655-184633834	.	-0.152962217
SAMPLE_1	1:186748124-186748303	.	0.075028885
SAMPLE_1	1:188862495-188862674	.	0.409497235
SAMPLE_1	1:190976915-190977094	.	0.28745628
SAMPLE_1	1:193091276-193091515	.	0.202014939
SAMPLE_1	1:193094187-193094402	.	-0.22876002
SAMPLE_1	1:193099255-193099422	.	-0.069173868
SAMPLE_1	1:193104468-193104625	.	-0.073109408
SAMPLE_1	1:193104626-193104776	.	0.12363792
SAMPLE_1	1:193107163-193107354	.	-0.036250875
SAMPLE_1	1:193110968-193111207	.	0.053079338
SAMPLE_1	1:193116938-193117153	.	-0.080096002
SAMPLE_1	1:193119377-193119568	.	0.076021694
SAMPLE_1	1:193121458-193121625	.	0.169632955
SAMPLE_1	1:193172870-193173037	.	-0.364219186
SAMPLE_1	1:193181141-193181284	.	-0.088598175
SAMPLE_1	1:193181468-193181659	.	0.185841714
SAMPLE_1	1:193202072-193202335	.	0.133805577
SAMPLE_1	1:193205328-193205543	.	0.149897225
SAMPLE_1	1:193218811-193219050	.	0.082438837
SAMPLE_1	1:193219752-193219895	.	-0.208609913
SAMPLE_1	1:196013362-196013481	.	-2.589195781
SAMPLE_1	1:1982015-1982194	.	-1.541204257
SAMPLE_1	1:1986821-1987060	.	0.228165388
SAMPLE_1	1:1987872-1988063	.	-0.302994422
SAMPLE_1	1:198806872-198807051	.	0.096565985
SAMPLE_1	1:1990921-1991088	.	-0.086466174
SAMPLE_1	1:2005596-2005811	.	-0.268315525
SAMPLE_1	1:2013710-2013949	.	0.10185324
SAMPLE_1	1:201600430-201600609	.	-0.253910797
SAMPLE_1	1:204393930-204394217	.	0.085133107
SAMPLE_1	1:204394685-204394924	.	0.079057977
SAMPLE_1	1:204396721-204396936	.	0.300854917
SAMPLE_1	1:204397212-204397403	.	-0.358607842
SAMPLE_1	1:204399000-204399215	.	0.227642875
SAMPLE_1	1:204400739-204400978	.	-0.290378132
SAMPLE_1	1:204401273-204401584	.	-0.039745611
SAMPLE_1	1:204402391-204402606	.	-0.054049731
SAMPLE_1	1:204402867-204403130	.	-0.059092816
SAMPLE_1	1:204403508-204403795	.	0.091775215
SAMPLE_1	1:204408011-204408250	.	-0.009142357
SAMPLE_1	1:204409265-204409504	.	0.016477433
SAMPLE_1	1:204410549-204410740	.	0.061167246
SAMPLE_1	1:204411600-204411815	.	-0.220937655
SAMPLE_1	1:204412491-204412778	.	0.055644007
SAMPLE_1	1:204413147-204413338	.	-0.020272092
SAMPLE_1	1:204413410-204413601	.	-0.030695719
SAMPLE_1	1:204415034-204415321	.	-0.318020891
SAMPLE_1	1:204416515-204416754	.	-0.054823099
SAMPLE_1	1:204418261-204418476	.	0.144512893
SAMPLE_1	1:204418930-204419193	.	-0.288014109
SAMPLE_1	1:204423738-204423977	.	-0.011003489
SAMPLE_1	1:204424926-204425237	.	0.123333868
SAMPLE_1	1:204426110-204426253	.	0.029880338
SAMPLE_1	1:204426797-204427060	.	-0.327472614
SAMPLE_1	1:204428954-204429121	.	0.027294844
SAMPLE_1	1:204429396-204429587	.	-0.028664328
SAMPLE_1	1:204429626-204429841	.	0.21499084
SAMPLE_1	1:204433080-204433319	.	-0.068554628
SAMPLE_1	1:204433523-204433786	.	0.174759704
SAMPLE_1	1:204434289-204434504	.	0.22835029
SAMPLE_1	1:204435888-204436175	.	0.085025397
SAMPLE_1	1:204437996-204438931	.	0.251448579
SAMPLE_1	1:204494590-204494781	.	-0.069795244
SAMPLE_1	1:204495429-204495620	.	-0.178031868
SAMPLE_1	1:204499759-204499998	.	0.049248649
SAMPLE_1	1:204501263-204501430	.	0.09177614
SAMPLE_1	1:204501838-204502005	.	-0.108069216
SAMPLE_1	1:204505939-204506154	.	0.074093261
SAMPLE_1	1:204506508-204506675	.	0.313733332
SAMPLE_1	1:204506985-204507176	.	-0.074573975
SAMPLE_1	1:204507279-204507494	.	0.093300787
SAMPLE_1	1:204511860-204512123	.	0.115298755
SAMPLE_1	1:204513606-204513869	.	0.047705746
SAMPLE_1	1:204515869-204516060	.	0.272215621
SAMPLE_1	1:204518238-204518813	.	-0.045952054
SAMPLE_1	1:204527717-204527860	.	-0.171148802
SAMPLE_1	1:20632939-20633118	.	0.019282262
SAMPLE_1	1:2066648-2066839	.	-0.133997153
SAMPLE_1	1:207243337-207243516	.	-0.249058739
SAMPLE_1	1:2075595-2075834	.	-0.121310062
SAMPLE_1	1:2077411-2077602	.	0.277207674
SAMPLE_1	1:2080253-2080420	.	0.086261136
SAMPLE_1	1:2082180-2082467	.	0.200859849
SAMPLE_1	1:2087375-2087590	.	0.139550404
SAMPLE_1	1:209958854-209959033	.	-0.31488005
SAMPLE_1	1:2100904-2101095	.	0.068696773
SAMPLE_1	1:2103442-2103681	.	0.58713464
SAMPLE_1	1:2103688-2103879	.	0.240180045
SAMPLE_1	1:2105288-2105503	.	0.146723283
SAMPLE_1	1:2106137-2106328	.	0.483379532
SAMPLE_1	1:2106612-2106803	.	-0.228206737
SAMPLE_1	1:2113214-2113357	.	0.525413915
SAMPLE_1	1:2115972-2116187	.	0.19911646
SAMPLE_1	1:2116309-2116500	.	0.049469408
SAMPLE_1	1:212674420-212674599	.	0.087301812
SAMPLE_1	1:215389888-215390067	.	-0.05882174
SAMPLE_1	1:218105479-218105658	.	0.239833707
SAMPLE_1	1:223536514-223536693	.	-0.178250877
SAMPLE_1	1:226251997-226252236	.	0.060750865
SAMPLE_1	1:226253347-226253610	.	0.214901715
SAMPLE_1	1:226258996-226259235	.	-0.215992019
SAMPLE_1	1:229304183-229304362	.	-0.25693605
SAMPLE_1	1:232349171-232349350	.	0.101789304
SAMPLE_1	1:235394209-235394388	.	0.4419743
SAMPLE_1	1:23885397-23885564	.	-0.209597804
SAMPLE_1	1:23885612-23885767	.	0.008074311
SAMPLE_1	1:23885768-23885923	.	0.158004872
SAMPLE_1	1:241661079-241661318	.	-0.082101468
SAMPLE_1	1:241663682-241663945	.	-0.105271863
SAMPLE_1	1:241665687-241665926	.	0.345351982
SAMPLE_1	1:241667288-241667599	.	0.031666553
SAMPLE_1	1:241669254-241669517	.	-0.185641275
SAMPLE_1	1:241671850-241672137	.	-0.030730955
SAMPLE_1	1:241675211-241675498	.	-0.118651297
SAMPLE_1	1:241676850-241677065	.	0.064220499
SAMPLE_1	1:241680429-241680668	.	-0.164750608
SAMPLE_1	1:241682837-241683076	.	-0.371124806
SAMPLE_1	1:243662995-243663138	.	-0.00808069
SAMPLE_1	1:243668498-243668689	.	0.049790861
SAMPLE_1	1:243675569-243675784	.	-0.13993258
SAMPLE_1	1:243708760-243708951	.	-0.242016754
SAMPLE_1	1:243715982-243716293	.	-0.263272259
SAMPLE_1	1:243726966-243727205	.	-0.047702507
SAMPLE_1	1:243736169-243736408	.	-0.129356815
SAMPLE_1	1:243776923-243777090	.	0.057895638
SAMPLE_1	1:243778347-243778514	.	-0.069859948
SAMPLE_1	1:243800859-243801098	.	-0.025613853
SAMPLE_1	1:243809135-243809398	.	-0.31314086
SAMPLE_1	1:243828022-243828237	.	-0.157204693
SAMPLE_1	1:243858836-243859075	.	-0.187303797
SAMPLE_1	1:243953990-243956509	.	-0.028956307
SAMPLE_1	1:244006378-244006521	.	0.024694546
SAMPLE_1	1:244006547-244006966	.	0.060544118
SAMPLE_1	1:244007201-244008700	.	0.05133383
SAMPLE_1	1:244008852-244013351	.	-0.049503398
SAMPLE_1	1:246631946-246632125	.	-0.599401105
SAMPLE_1	1:27022887-27024038	.	0.753767294
SAMPLE_1	1:27056092-27056403	.	0.111324438
SAMPLE_1	1:27057641-27058096	.	-0.134366751
SAMPLE_1	1:27059117-27059332	.	-0.271417937
SAMPLE_1	1:27087335-27087598	.	-0.038143999
SAMPLE_1	1:27087824-27088015	.	-0.118246279
SAMPLE_1	1:27088595-27088858	.	0.061497319
SAMPLE_1	1:27089452-27089787	.	0.009897409
SAMPLE_1	1:27092653-27092903	.	-0.068059165
SAMPLE_1	1:27092904-27093110	.	-0.06983477
SAMPLE_1	1:27094230-27094541	.	0.028029636
SAMPLE_1	1:27097558-27097869	.	0.136467282
SAMPLE_1	1:27098937-27099176	.	-0.10061772
SAMPLE_1	1:27099247-27099534	.	0.046077969
SAMPLE_1	1:27099780-27100029	.	0.006172654
SAMPLE_1	1:27100030-27100251	.	0.117959074
SAMPLE_1	1:27100252-27100448	.	-0.176071781
SAMPLE_1	1:27100810-27101721	.	0.059959371
SAMPLE_1	1:27102013-27102252	.	-0.023438883
SAMPLE_1	1:27102254-27102445	.	0.079825204
SAMPLE_1	1:27105505-27107256	.	0.025738465
SAMPLE_1	1:29563325-29563504	.	0.329883927
SAMPLE_1	1:32019435-32019614	.	0.031410329
SAMPLE_1	1:34475594-34475773	.	0.09684196
SAMPLE_1	1:36931695-36932510	.	0.008372472
SAMPLE_1	1:36932776-36932967	.	-0.256319858
SAMPLE_1	1:36933110-36933301	.	-0.339813998
SAMPLE_1	1:36933363-36933619	.	-0.407462993
SAMPLE_1	1:36933620-36933880	.	-0.122266604
SAMPLE_1	1:36934700-36934915	.	-0.189936046
SAMPLE_1	1:36935203-36935490	.	-0.132633431
SAMPLE_1	1:36936985-36937296	.	-0.061370735
SAMPLE_1	1:36937608-36937789	.	0.132939604
SAMPLE_1	1:36937790-36938047	.	-0.077590177
SAMPLE_1	1:36938059-36938346	.	-0.422446205
SAMPLE_1	1:36938986-36939273	.	-0.065398792
SAMPLE_1	1:36939307-36939546	.	-0.346001198
SAMPLE_1	1:36940970-36941281	.	0.049004145
SAMPLE_1	1:36942580-36942891	.	0.021275896
SAMPLE_1	1:36943100-36943363	.	0.277254441
SAMPLE_1	1:36944979-36945170	.	0.102706283
SAMPLE_1	1:36947025-36947192	.	0.627103022
SAMPLE_1	1:36948360-36948551	.	0.009083534
SAMPLE_1	1:40363043-40363192	.	-0.081900231
SAMPLE_1	1:40363193-40363342	.	-0.118165521
SAMPLE_1	1:40363343-40363492	.	0.011584395
SAMPLE_1	1:40363493-40363642	.	0.036623825
SAMPLE_1	1:40366477-40366638	.	-0.331832884
SAMPLE_1	1:40366639-40366800	.	0.468644483
SAMPLE_1	1:40366801-40366962	.	0.189593313
SAMPLE_1	1:40366963-40367124	.	0.149730442
SAMPLE_1	1:40367424-40367615	.	-0.024404392
SAMPLE_1	1:43803463-43803654	.	-0.383640544
SAMPLE_1	1:43803716-43803955	.	-0.120078158
SAMPLE_1	1:43804158-43804445	.	-0.020303079
SAMPLE_1	1:43804935-43805246	.	-0.044224942
SAMPLE_1	1:43805584-43805847	.	0.12513534
SAMPLE_1	1:43806001-43806240	.	0.048749031
SAMPLE_1	1:43812064-43812351	.	-0.116617435
SAMPLE_1	1:43812414-43812653	.	0.093098792
SAMPLE_1	1:43814459-43814728	.	-0.290418221
SAMPLE_1	1:43814881-43815168	.	-0.101857059
SAMPLE_1	1:43817835-43818026	.	-0.207689501
SAMPLE_1	1:43818184-43818447	.	-0.019330936
SAMPLE_1	1:45794924-45795163	.	0.029027096
SAMPLE_1	1:45796137-45796280	.	-0.274028943
SAMPLE_1	1:45796798-45797048	.	0.0703275
SAMPLE_1	1:45797049-45797279	.	-0.204860801
SAMPLE_1	1:45797283-45797594	.	-0.178559615
SAMPLE_1	1:45797643-45797797	.	-0.002121997
SAMPLE_1	1:45797798-45798022	.	0.034638213
SAMPLE_1	1:45798023-45798202	.	0.081588392
SAMPLE_1	1:45798203-45798396	.	-0.00885859
SAMPLE_1	1:45798397-45798547	.	-0.22416545
SAMPLE_1	1:45798548-45798682	.	-0.445323615
SAMPLE_1	1:45798710-45798901	.	-0.167818164
SAMPLE_1	1:45798905-45799040	.	0.018827449
SAMPLE_1	1:45799041-45799323	.	-0.103186565
SAMPLE_1	1:45800003-45800242	.	-0.060700152
SAMPLE_1	1:45803756-45803971	.	-0.103456529
SAMPLE_1	1:45805817-45805984	.	-0.091814114
SAMPLE_1	1:48621784-48621963	.	-0.102040097
SAMPLE_1	1:51435985-51436224	.	0.082913345
SAMPLE_1	1:51439562-51439753	.	0.227090232
SAMPLE_1	1:51439754-51439945	.	0.092620233
SAMPLE_1	1:53994045-53994224	.	-0.597651135
SAMPLE_1	1:56548186-56548365	.	-0.117980426
SAMPLE_1	1:59102435-59102554	.	-0.634785401
SAMPLE_1	1:61656468-61656647	.	-0.190722912
SAMPLE_1	1:64210683-64210862	.	-0.010906745
SAMPLE_1	1:66764799-66764978	.	-0.418614313
SAMPLE_1	1:69318965-69319144	.	-0.171578964
SAMPLE_1	1:71873071-71873310	.	0.135012934
SAMPLE_1	1:71905357-71905572	.	-0.326135624
SAMPLE_1	1:72058444-72058707	.	0.087531165
SAMPLE_1	1:72076649-72076888	.	-0.016107587
SAMPLE_1	1:72163565-72163876	.	-0.123652025
SAMPLE_1	1:72168857-72169096	.	0.210344098
SAMPLE_1	1:72241798-72242037	.	-0.045859446
SAMPLE_1	1:72400758-72400997	.	0.081066676
SAMPLE_1	1:72566370-72566657	.	-0.00768985
SAMPLE_1	1:72747946-72748233	.	-0.172214468
SAMPLE_1	1:75092358-75092537	.	0.132112134
SAMPLE_1	1:77436524-77436703	.	0.239201049
SAMPLE_1	1:7767399-7767518	.	0.004034128
SAMPLE_1	1:79780739-79780918	.	0.030624884
SAMPLE_1	1:82124833-82124952	.	-0.101688191
SAMPLE_1	1:84469093-84469272	.	-0.180191507
SAMPLE_1	1:86813235-86813414	.	-0.389560304
SAMPLE_1	1:89157424-89157603	.	-0.140801202
SAMPLE_1	1:93845770-93845949	.	-0.350804794
SAMPLE_1	1:98534124-98534303	.	-0.101122337
SAMPLE_1	10:10331987-10332166	.	-0.094177802
SAMPLE_1	10:104263857-104264144	.	0.151376901
SAMPLE_1	10:104268873-104269112	.	-0.074870315
SAMPLE_1	10:104309675-104309914	.	0.051331073
SAMPLE_1	10:104352290-104352529	.	-0.200086103
SAMPLE_1	10:104353340-104353531	.	0.193086134
SAMPLE_1	10:104353690-104353881	.	0.200866404
SAMPLE_1	10:104356842-104357105	.	0.105621647
SAMPLE_1	10:104359138-104359353	.	0.127886785
SAMPLE_1	10:104374972-104375211	.	0.175182141
SAMPLE_1	10:104377035-104377346	.	0.139509498
SAMPLE_1	10:104378718-104378933	.	-0.260058626
SAMPLE_1	10:104386882-104387049	.	0.495903457
SAMPLE_1	10:104389772-104389963	.	0.54372904
SAMPLE_1	10:108358678-108358857	.	0.219085741
SAMPLE_1	10:112327474-112327689	.	-0.047670666
SAMPLE_1	10:112328638-112328829	.	-0.274357846
SAMPLE_1	10:112333412-112333555	.	-0.152504999
SAMPLE_1	10:112335044-112335211	.	-0.116195002
SAMPLE_1	10:112337131-112337298	.	-0.070476814
SAMPLE_1	10:112337537-112337728	.	-0.050032615
SAMPLE_1	10:112338329-112338520	.	-0.042142757
SAMPLE_1	10:112340613-112340828	.	0.218424454
SAMPLE_1	10:112341625-112341912	.	0.14054505
SAMPLE_1	10:112342264-112342455	.	0.07818273
SAMPLE_1	10:112343092-112343355	.	0.266478254
SAMPLE_1	10:112343540-112343779	.	0.501546066
SAMPLE_1	10:112343892-112344203	.	0.11360977
SAMPLE_1	10:112349307-112349522	.	0.421114661
SAMPLE_1	10:112349592-112349807	.	0.162336195
SAMPLE_1	10:112350118-112350381	.	0.059220303
